Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
BIRC6	baculoviral IAP repeat containing 6	57448.0	2:32357028-32618899	2		2p22.3	yes		melanoma, gastric adenocarcinoma, lung adenocarcinoma			E		oncogene, fusion	T, Mis	ALK			BRUCE,CCDS33175.2,ENSG00000115760.13,NM_016252.3,NP_057336,Q9NR09
BMPR1A	bone morphogenetic protein receptor, type IA	657.0	10:86756650-86932838	1	Yes	10q23.2		yes		gastrointestinal polyps	juvenile polyposis	E	Rec	oncogene, TSG	Mis, N, F				ACVRLK3,ALK3,CCDS7378.1,CD292,ENSG00000107779.13,NM_004329.2,NP_004320,P36894
BRAF	v-raf murine sarcoma viral oncogene homolog B1	673.0	7:140730665-140924928	1	Yes	7q34	yes		melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric			E, O	Dom	oncogene, fusion	Mis, T, O	AKAP9, KIAA1549, CEP88, LSM14A, SND1, FCHSD1, SLC45A3, FAM131B, RNF130, CLCN6, MKRN1, GNAI1, AGTRAP	yes	Cardio-facio-cutaneous syndrome	BRAF1,CCDS5863.1,ENSG00000157764.13,NM_004333.4,NP_004324
BRD3	bromodomain containing 3	8019.0	9:134030305-134068017	1		9q34.2	yes		lethal midline carcinoma of young people			E	Dom	oncogene, fusion	T	NUTM1			CCDS6980.1,ENSG00000169925.16,KIAA0043,NM_007371.3,NP_031397,ORFX,Q15059,RING3L
BRD4	bromodomain containing 4	23476.0	19:15235519-15280451	1	Yes	19p13.12	yes		lethal midline carcinoma of young people			E	Dom	oncogene, fusion	T	NUTM1			CAP,CCDS12328.1,ENSG00000141867.17,HUNK1,HUNKI,MCAP,NM_058243.2,NP_490597,O60885
BTK	Bruton agammaglobulinemia tyrosine kinase	695.0	X:101349447-101390796	1	Yes	Xq22.1	yes		CLL, mantle cell lymphoma, WM			L	Dom	oncogene, TSG	Mis		yes	agammaglobulinemia	AGMX1,ATK,CCDS76003.1,ENSG00000010671.15,IMD1,NM_001287344.1,NP_001274273,PSCTK1,Q06187,XLA
CACNA1D	calcium channel, voltage-dependent, L type, alpha 1D subunit	776.0	3:53495049-53813733	1	Yes	3p21.1	yes		adrenal aldosterone producing adenoma			E	Dom	oncogene	Mis		yes	Syndrome featuring primary aldosteronism, seizures and neuromuscular disease.	CACH3,CACN4,CACNL1A2,CCDS2872.1,CCHL1A2,Cav1.3,ENSG00000157388.16,Q01668
CALR	calreticulin	811.0	19:12938607-12944489	1	Yes	19p13.13	yes		MPN, MDS			L	Dom	oncogene	F, Mis				CCDS12288.1,CRT,ENSG00000179218.13,FLJ26680,NM_004343.3,NP_004334,P27797,RO,SSA,cC1qR
CARD11	caspase recruitment domain family, member 11	84433.0	7:2906141-3043945	1	Yes	7p22.2	yes		DLBCL			L	Dom	oncogene	Mis				BIMP3,CARMA1,CCDS5336.2,ENSG00000198286.9,NM_032415.5,NP_001311210,NP_115791,Q9BXL7
CBL	Cas-Br-M (murine) ecotropic retroviral transforming	867.0	11:119206276-119308149	1	Yes	11q23.3	yes		AML, JMML, MDS			L	Dom/Rec	oncogene, TSG, fusion	T, Mis, S, O	KMT2A			CBL2,CCDS8418.1,ENSG00000110395.6,NM_005188.3,NP_005179,P22681,RNF55,c-Cbl
CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	23624.0	19:44777869-44800634	1		19q13.32	yes		AML			L	Rec	oncogene, TSG	Mis				CBL-3,CBL-SL,CCDS12643.1,ENSG00000142273.11,NM_012116.3,NP_036248,Q9ULV8,RNF57
CCND1	cyclin D1	595.0	11:69641087-69654474	1	Yes	11q13.3	yes		CLL, B-ALL, breast			L, E	Dom	oncogene, fusion	T	IGH, FSTL3			BCL1,CCDS8191.1,D11S287E,ENSG00000110092.3,NM_053056.2,NP_444284,P24385,PRAD1,U21B31
CCND2	cyclin D2	894.0	12:4273772-4305350	1	Yes	12p13.32	yes		NHL,CLL			L	Dom	oncogene, fusion	T	IGL			CCDS8524.1,ENSG00000118971.7,NM_001759.3,NP_001750,P30279
CCND3	cyclin D3	896.0	6:41934933-41941848	1		6p21.1	yes		MM			L	Dom	oncogene, fusion	T	IGH			CCDS4863.1,ENSG00000112576.12,NM_001760.4,NP_001751,P30281
CCNE1	cyclin E1	898.0	19:29811898-29824308	1	Yes	19q12	yes		serous ovarian			E	Dom	oncogene	A				CCDS12419.1,CCNE,ENSG00000105173.13,NM_001322261.1,NP_001229,NP_001309190.1,NP_001309188.1,P24864
CCR4	C-C motif chemokine receptor 4	1233.0	3:32951574-32956349	2		3p22.3	yes		adult T-cell leukaemia/lymphoma			L		oncogene	N				CC-CKR-4,CCDS2656.1,CD194,CKR4,CMKBR4,ChemR13,ENSG00000183813.6,NM_005508.4,NP_005499,P51679,k5-5
CCR7	C-C motif chemokine receptor 7	1236.0	17:40553769-40565472	2		17q21.2	yes		adult T-cell leukaemia/lymphoma			L		oncogene	N				BLR2,CCDS11369.1,CD197,CDw197,CMKBR7,EBI1,ENSG00000126353.3,NM_001838.3,NP_001829,P32248
CD28	CD28 molecule	940.0	2:203706548-203738912	2		2q33.2	yes		T-cell lymphoma			L		oncogene	Mis				CCDS2361.1,ENSG00000178562.17,NM_006139.3,NP_006130,NP_001230006.1,P10747
CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	972.0	5:150402152-150412751	1		5q33.1	yes		NSCLC			E	Dom	oncogene, fusion	T	ROS1, NRG1			CCDS47309.1,DHLAG,ENSG00000019582.14,NM_001025159.2,NP_001020330,P04233
CD79A	CD79a molecule, immunoglobulin-associated alpha	973.0	19:41877120-41881372	1	Yes	19q13.2	yes		DLBCL, WM			L	Dom	oncogene	S		yes	Agammaglobulinaemia	CCDS12589.1,ENSG00000105369.9,IGA,MB-1,NM_001783.3,NP_001774,P11912
CD79B	CD79b molecule, immunoglobulin-associated beta	974.0	17:63928740-63932336	1	Yes	17q23.3	yes		DLBCL, WM			L	Dom	oncogene	Mis, S		yes	Agammaglobulinaemia	B29,CCDS42372.1,ENSG00000007312.12,IGB,NM_001039933.1,NP_001035022,P40259
CDH17	cadherin 17	1015.0	8:94127171-94208587	2		8q22.1	yes		melanoma			E		oncogene	Mis				CCDS6260.1,ENSG00000079112.9,HPT-1,NM_004063.3,NP_004054,Q12864,cadherin
CDK4	cyclin-dependent kinase 4	1019.0	12:57747727-57752521	1	Yes	12q14.1		yes		melanoma	familial malignant melanoma	E	Dom	oncogene	Mis				CCDS8953.1,ENSG00000135446.16,NM_000075.3,NP_000066,P11802,PSK-J3
CDK6	cyclin-dependent kinase 6	1021.0	7:92604921-92833917	1	Yes	7q21.2	yes		ALL			L	Dom	oncogene, fusion	T	MLLT10			CCDS5628.1,ENSG00000105810.9,NM_001259.6,NP_001250,PLSTIRE,Q00534
CDKN1A	cyclin dependent kinase inhibitor 1A	1026.0	6:36678710-36687337	2		6p21.2	yes		bladder cancer			E		oncogene, TSG	F, N				CAP20,CCDS4824.1,CDKN1,CIP1,ENSG00000124762.13,NM_001220778.1,NP_001207707,P21,P38936,SDI1,WAF1,p21,p21CIP1,p21Cip1/Waf1
CHD4	chromodomain helicase DNA binding protein 4	1108.0	12:6570088-6607476	1	Yes	12p13.31	yes		uterine serous carcinoma			E	Dom	oncogene	Mis, F, N				CCDS8552.1,ENSG00000111642.15,Mi-2b,Mi2-BETA,NM_001273.3,NP_001264
CHST11	carbohydrate sulfotransferase 11	50515.0	12:104456973-104762014	2		12q23.3	yes		B-CLL			L		oncogene, fusion	T				C4ST,C4ST1,C4St-1,CCDS9099.1,ENSG00000171310.10,HSA269537,NM_018413.5,NP_060883,Q9NPF2
CIC	capicua homolog	23152.0	19:42284665-42295797	1	Yes	19q13.2	yes		oligodendroglioma, soft tissue sarcoma			O, M	Rec	oncogene, TSG, fusion	Mis, F, S,T	DUX4L1, FOXO4			CCDS12601.1,ENSG00000079432.7,KIAA0306,NM_015125.4,NP_055940,Q96RK0
CREB1	cAMP responsive element binding protein 1	1385.0	2:207529892-207603431	1		2q33.3	yes		clear cell sarcoma, angiomatoid fibrous histiocytoma			M	Dom	oncogene, fusion	T	EWSR1			CCDS2375.1,ENSG00000118260.14,NM_134442.4,NP_604391,P16220
CREB3L2	cAMP responsive element binding protein 3-like 2	64764.0	7:137874979-138002057	1	Yes	7q33	yes		fibromyxoid sarcoma			M	Dom	oncogene, fusion	T	FUS			BBF2H7,CCDS34760.1,ENSG00000182158.14,NM_194071.3,NP_919047,NP_001305175.1,Q70SY1,TCAG_1951439
CREBBP	CREB binding protein (CBP)	1387.0	16:3725054-3880726	1	Yes	16p13.3	yes		ALL, AML, DLBCL, B-NHL			L	Dom/Rec	oncogene, TSG, fusion	T, N, F, Mis, O	KMT2A, MORF, KAT6A	yes	Rubinstein-Taybi syndrome	CBP,CCDS10509.1,ENSG00000005339.14,KAT3A,NM_004380.2,NP_004371,Q92793,RSTS,RTS
CRLF2	cytokine receptor-like factor 2	64109.0	X:1190490-1212750	1	Yes	Xp22.33	yes		B-ALL, Downs associated ALL			L	Dom	oncogene, fusion	Mis, T	P2RY8, IGH			CCDS75945.1,CRL2,ENSG00000205755.11,NM_022148.3,NP_071431,Q9HC73,TSLPR
CRTC1	CREB regulated transcription coactivator 1	23373.0	19:18683678-18782333	1	Yes	19p13.11	yes		salivary gland mucoepidermoid			E	Dom	oncogene, fusion	T	MAML2			CCDS42525.1,ENSG00000105662.15,FLJ14027,KIAA0616,MECT1,NM_001098482.1,NP_001091952,Q6UUV9,TORC1
CSF1R	colony stimulating factor 1 receptor	1436.0	5:150053291-150113372	2		5q32	yes		MDS, CML, AML, hemangioblastoma, CCRCC			L, M, E		oncogene	Mis, N		yes	diffuse leukoencephalopathy with spheroids	C-FMS,CCDS4302.1,CD115,CSFR,ENSG00000182578.13,FMS,NM_005211.3,NP_001275634,NP_005202,NP_001336665.1,P07333
CSF3R	colony stimulating factor 3 receptor (granulocyte)	1441.0	1:36466043-36483278	1	Yes	1p34.3	yes		aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS			L	Dom	oncogene	Mis, N		yes	Kostmann syndrome, severe congenital neutropenia	CCDS414.1,CD114,ENSG00000119535.17,GCSFR,NM_156039.3,NP_724781,Q99062
CTNNA2	catenin alpha 2	1496.0	2:79651552-80648689	2		2p12	yes		gastric cancer			E		oncogene	Mis, S				CAP-R,CCDS62944.1,CT114,ENSG00000066032.18,NM_001282597.2,NP_001269526,P26232
CTNNB1	catenin (cadherin-associated protein), beta 1	1499.0	3:41220551-41239888	1	Yes	3p22.1	yes		colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types			E, M, O	Dom	oncogene, fusion	Mis, O, T	PLAG1			CCDS2694.1,CTNNB,ENSG00000168036.17,armadillo,beta-catenin
CTNND2	catenin delta 2	1501.0	5:10971840-11904043	2		5p15.2	yes		prostae adenocarcinoma, GIST			E		oncogene	Mis				CCDS3881.1,ENSG00000169862.18,GT24,NM_001332.3,NPRAP,NP_001323,Q9UQB3
CUX1	cut-like homeobox 1	1523.0	7:101816011-102258233	1	Yes	7q22.1	yes		endometrial, melanoma, colorectal, AML, MDS, other tumour types			E,L,M,O	Dom	oncogene, TSG	N,F,S,Mis,O,T	CLDN7			CASP,CCDS56498.1,CDP,CDP/Cut,CDP/Cux,CDP1,CUT,CUTL1,CUX,Clox,Cux/CDP,ENSG00000257923.10,GOLIM6,NM_001202543.1,NP_001189472,P39880
CXCR4	C-X-C motif chemokine receptor 4	7852.0	2:136114349-136116243	1	Yes	2q22.1	yes	yes	WM			L	Dom	oncogene	Mis, N, F				CCDS33295.1,CD184,D2S201E,ENSG00000121966.6,HM89,HSY3RR,LESTR,NM_001008540.1,NPY3R,NPYR,NPYY3R,NP_001008540,P61073,fusin
CYSLTR2	cysteinyl leukotriene receptor 2	57105.0	13:48706555-48711226	2		13q14.2	yes		uveal melanoma			E		oncogene	Mis				CCDS9412.1,CYSLT2R,CysLT(2),ENSG00000152207.7,NM_001308471.1,NP_001295400,Q9NS75
DAXX	death-domain associated protein	1616.0	6:33318558-33323014	1	Yes	6p21.32	yes		pancreatic neuroendocrine tumour, paediatric glioblastoma			E	Rec	oncogene, TSG	Mis, F, N				CCDS4776.1,DAP6,ENSG00000204209.12,NM_001350.4,NP_001341,NP_001135441,NP_001135442.1,Q9UER7
DDB2	damage-specific DNA binding protein 2	1643.0	11:47214942-47239240	1	Yes	11p11.2		yes		skin basal cell, skin squamous cell, melanoma	xeroderma pigmentosum (E)	E	Rec	oncogene, TSG	Mis, N				CCDS7927.1,DDBB,ENSG00000134574.11,FLJ34321,NM_000107.2,NP_000098,Q92466,UV-DDB2,XPE
DDIT3	DNA-damage-inducible transcript 3	1649.0	12:57516589-57520517	1	Yes	12q13.3	yes		liposarcoma			M	Dom	oncogene, fusion	T	FUS, EWSR1			CCDS55838.1,CHOP,CHOP10,ENSG00000175197.12,GADD153,NM_001195056.1,NP_001181985,NP_001181983,NP_001181982,NP_001181984,P35638
DDR2	discoidin domain receptor 2	4921.0	1:162632465-162787400	1	Yes	1q23.3	yes		squamous cell carcinoma, NSCLC			E	Dom	oncogene	Mis, N		yes	Spondylometaepiphyseal dysplasia, short limb-hand type	CCDS1241.1,ENSG00000162733.16,NM_001014796.1,NP_001014796,NP_001341912.1,NP_001341911.1,NTRKR3,Q16832,TKT,TYRO10
DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	1655.0	17:64499616-64506521	1	Yes	17q23.3	yes		prostate			E	Dom	oncogene, fusion	T	ETV4			CCDS11659.1,ENSG00000108654.14,G17P1,HLR1,NM_004396.4,NP_001307525,NP_004387,NP_001307524,P17844,p68
DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	1656.0	11:118747766-118790948	1	Yes	11q23.3	yes		B-NHL			L	Dom	oncogene, fusion	T	IGH			CCDS44751.1,ENSG00000110367.11,HLR2,NM_001257191.2,NP_001244120,P26196,RCK
DEK	DEK oncogene (DNA binding)	7913.0	6:18223868-18264823	1		6p22.3	yes		AML			L	Dom	oncogene, fusion	T	NUP214			CCDS34344.1,D6S231E,ENSG00000124795.14,NM_003472.3,NP_003463,P35659
DGCR8	DGCR8, microprocessor complex subunit	54487.0	22:20080232-20111871	2		22q11.21	yes		Wilms tumour			O		oncogene	Mis				C22orf12,CCDS13773.1,DGCRK6,ENSG00000128191.15,Gy1,NM_022720.6,NP_073557,Q8WYQ5,pasha
EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	1956.0	7:55019101-55211628	1	Yes	7p11.2	yes	yes	glioma, NSCLC	NSCLC	familial lung cancer	E, O	Dom	oncogene	A, O, Mis				CCDS5514.1,ENSG00000146648.17,ERBB,ERBB1,NM_005228.3,NP_005219,P00533
ELF4	E74-like factor 4 (ets domain transcription factor)	2000.0	X:130064928-130110495	1	Yes	Xq26.1	yes		AML			L	Dom	oncogene, TSG, fusion	T	ERG			CCDS14617.1,ELFR,ENSG00000102034.16,MEF,NM_001421.3,NP_001412,Q99607
ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)	2005.0	1:205607943-205631962	1	Yes	1q32.1	yes		prostate			E	Dom	oncogene, fusion	T	SLC45A3			CCDS1456.1,ENSG00000158711.13,NM_001973.3,NP_001964,P28324,SAP1
EPAS1	endothelial PAS domain protein 1	2034.0	2:46297402-46386703	1	Yes	2p21	yes		paraganglioma, pheochromocytoma, central nervous system hemangioblastomas			E, M	Dom	oncogene, TSG	Mis		yes	type 3 familial erythrocytosis	CCDS1825.1,ENSG00000116016.13,HIF2A,HLF,MOP2,NM_001430.4,NP_001421,PASD2,Q99814,bHLHe73
ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	2064.0	17:39700080-39728662	1	Yes	17q12	yes		breast, ovarian, other tumour types, NSCLC, gastric			E	Dom	oncogene, fusion	A, Mis, O				CCDS32642.1,CD340,ENSG00000141736.13,HER-2,HER2,NEU,NGL,NM_004448.3,NP_004439,P04626
ERBB3	erb-b2 receptor tyrosine kinase 3	2065.0	12:56079861-56103505	1	Yes	12q13.2	yes		colon, gastric, head and neck, bladder, skin			E	Dom	oncogene	Mis, N				CCDS31833.1,ENSG00000065361.15,HER3,LCCS2,NM_001982.3,NP_001973,P21860
ERBB4	erb-b2 receptor tyrosine kinase 4	2066.0	2:211375717-212538841	1	Yes	2q34	yes	yes	melanoma, gastric, NSCLC			E	Dom	oncogene, TSG	Mis, N		yes	Amyotrophic lateral sclerosis 19	ALS19,CCDS2394.1,ENSG00000178568.14,HER4,NM_005235.2,NP_005226,Q15303
ERG	v-ets erythroblastosis virus E26 oncogene like (avian)	2078.0	21:38380027-38661694	1	Yes	21q22.2	yes		Ewing sarcoma, prostate, AML			M, E, L	Dom	oncogene, fusion	T, A	EWSR1, TMPRSS2, ELF4, FUS, HERPUD1, NDRG1			CCDS46648.1,ENSG00000157554.18,NM_001243432.2,NP_001129626,NP_001230361.1,P11308,erg-3,p55
ESR1	estrogen receptor 1	2099.0	6:151690496-152103274	1	Yes	6q25.2	yes		breast			E	Dom	oncogene, TSG, fusion	Mis				CCDS5234.1,ENSG00000091831.23,ER-alpha,ESR,Era,NM_001122742.1,NP_001116214,NR3A1,P03372
ETV1	ets variant gene 1	2115.0	7:13891228-13989946	1		7p21.2	yes		Ewing sarcoma, prostate			M, E	Dom	oncogene, fusion	T	EWSR1, TMPRSS2, SLC45A3, HMGN2P46, HNRNPA2B1. ACSL3			CCDS55088.1,ENSG00000006468.13,ER81,NM_004956.4,NP_004947,P50549
ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	2118.0	17:43527844-43546432	1		17q21.31	yes		Ewing sarcoma, prostate carcinoma			M, E	Dom	oncogene, fusion	T	EWSR1, TMPRSS2, DDX5, KLK2, CANT1			CCDS11465.1,E1A-F,E1AF,ENSG00000175832.12,NM_001079675.2,NP_001073143,P43268,PEA3
ETV5	ets variant gene 5	2119.0	3:186046308-186109112	1		3q27.2	yes		prostate			E	Dom	oncogene, fusion	T	TMPRSS2, SCL45A3			CCDS33906.1,ENSG00000244405.7,ERM,NM_004454.2,NP_004445,P41161
