GENE_SYMBOL,NAME,COSMIC_GENE_ID,CHROMOSOME,GENOME_START,GENOME_STOP,CHR_BAND,SOMATIC,GERMLINE,TUMOUR_TYPES_SOMATIC,TUMOUR_TYPES_GERMLINE,CANCER_SYNDROME,TISSUE_TYPE,MOLECULAR_GENETICS,ROLE_IN_CANCER,MUTATION_TYPES,TRANSLOCATION_PARTNER,OTHER_GERMLINE_MUT,OTHER_SYNDROME,TIER,SYNONYMS
CDKN2A,cyclin dependent kinase inhibitor 2A,COSG84244,9,21967753.0,21995301.0,9p21.3,y,y,"melanoma, multiple other tumour types","melanoma, pancreatic",familial malignant melanoma,"L, E, M, O",Rec,TSG,"D, Mis, N, F, S",,n,,1,"CDKN2A,ENSG00000147889.17,P42771,1029,ARF,CDK4I,CMM2,INK4,INK4a,MTS1,p14,p14ARF,p16,p16INK4a,p19,p19Arf"
CDKN2C,cyclin dependent kinase inhibitor 2C,COSG85136,1,50960745.0,50974633.0,1p32.3,y,n,"glioma, MM",,,"O, L",Rec,TSG,D,,n,,1,"CDKN2C,ENSG00000123080.10,P42773,1031,INK4C,p18"
CDX2,caudal type homeobox 2,COSG61853,13,27962137.0,27971139.0,13q12.2,y,n,AML,,,L,Dom,"TSG, fusion",T,ETV6,n,,1,"CDX2,ENSG00000165556.9,Q99626,1045"
CEBPA,CCAAT enhancer binding protein alpha,COSG97270,19,33299934.0,33302564.0,19q13.11,y,n,"AML, MDS",,,L,Dom,TSG,"Mis, N, F",,n,,1,"CEBPA,ENSG00000245848.2,P49715,1050,C/EBP-alpha"
CHEK2,checkpoint kinase 2,COSG85276,22,28687743.0,28742422.0,22q12.1,n,y,,breast,familial breast cancer,E,Rec,TSG,F,,n,,1,"CHEK2,ENSG00000183765.20,O96017,11200,CDS1,CHK2,HuCds1,PP1425,bA444G7"
CIC,capicua transcriptional repressor,COSG71296,19,42268537.0,42295797.0,19q13.2,y,n,"oligodendroglioma, soft tissue sarcoma",,,"O, M",Rec,"oncogene, TSG, fusion","Mis, F, S,T","DUX4L1, FOXO4",n,,1,"CIC,ENSG00000079432.7,Q96RK0,23152,KIAA0306"
CIITA,class II major histocompatibility complex transactivator,COSG86391,16,10866222.0,10943021.0,16p13.13,y,n,"PMBL, Hodgkin lymphoma",,,L,Dom,"TSG, fusion",T,"C15orf55, CD274, PDCD1LG2, RALGDS, RUNDC2A, RMI2, BCL6",n,,1,"CIITA,ENSG00000179583.19,4261,C2TA,NLRA"
CLTC,clathrin heavy chain,COSG66844,17,59619689.0,59696956.0,17q23.1,y,n,"ALCL, renal",,,L,Dom,"TSG, fusion",T,"ALK, TFE3",n,,1,"CLTC,ENSG00000141367.11,1213,Hc"
CLTCL1,clathrin heavy chain like 1,COSG84449,22,19179473.0,19291716.0,22q11.21,y,n,ALCL,,,L,Dom,"TSG, fusion",T,?,n,,1,"CLTCL1,ENSG00000070371.15,P53675,8218,CHC22,CLH22,CLTD"
CNBP,CCHC-type zinc finger nucleic acid binding protein,COSG98835,3,129169484.0,129183922.0,3q21.3,y,n,aneurysmal bone cyst,,,M,Dom,"TSG, fusion",T,USP6,n,,1,"CNBP,ENSG00000169714.16,P62633,7555,CNBP1,RNF163,ZCCHC22"
CNOT3,CCR4-NOT transcription complex subunit 3,COSG61227,19,54137717.0,54155708.0,19q13.42,y,n,T-ALL,,,L,Rec,TSG,"Mis, N, F",,n,,1,"CNOT3,ENSG00000088038.18,O75175,4849,KIAA0691,LENG2,NOT3H"
CREB3L1,cAMP responsive element binding protein 3 like 1,COSG64988,11,46277661.0,46321422.0,11p11.2,y,n,myxofibrosarcoma,,,M,Dom,"TSG, fusion",T,FUS,n,,1,"CREB3L1,ENSG00000157613.10,Q96BA8,90993,OASIS"
CREBBP,CREB binding protein,COSG105038,16,3725054.0,3880726.0,16p13.3,y,n,"ALL, AML, DLBCL, B-NHL",,,L,Dom/Rec,"oncogene, TSG, fusion","T, N, F, Mis, O","KMT2A, MORF, KAT6A",y,Rubinstein-Taybi syndrome,1,"CREBBP,ENSG00000005339.14,Q92793,1387,CBP,KAT3A,RTS"
CTCF,CCCTC-binding factor,COSG77622,16,67562407.0,67639185.0,16q22.1,y,n,"endometrial, breast, head and neck cancer",,,E,Dom,TSG,"Mis, N",,n,"Mental retardation, autosomal dominant 21",1,"CTCF,ENSG00000102974.15,10664"
CUX1,cut like homeobox 1,COSG83270,7,101815904.0,102283958.0,7q22.1,y,n,"endometrial, melanoma, colorectal, AML, MDS, other tumour types",,,"E,L,M,O",Dom,"oncogene, TSG","N,F,S,Mis,O,T",CLDN7,n,,1,"CUX1,ENSG00000257923.10,P39880,1523,CASP,CDP,CDP/Cut,CDP/Cux,CDP1,CUT,CUX,Clox,Cux/CDP,GOLIM6"
CYLD,CYLD lysine 63 deubiquitinase,COSG70548,16,50742050.0,50801935.0,16q12.1,y,y,cylindroma,cylindroma,"familial cylindromatosis, familial trichoepithelioma, Brooke-Spiegler syndrome",E,Rec,TSG,"Mis, N, F, S",,n,,1,"CYLD,ENSG00000083799.17,Q9NQC7,1540,KIAA0849,USPL2"
DAXX,death domain associated protein,COSG105937,6,33318558.0,33323016.0,6p21.32,y,n,"pancreatic neuroendocrine tumour, paediatric glioblastoma",,,E,Rec,"oncogene, TSG","Mis, F, N",,n,,1,"DAXX,ENSG00000204209.12,Q9UER7,1616,DAP6"
DDB2,damage specific DNA binding protein 2,COSG102518,11,47214465.0,47239240.0,11p11.2,n,y,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (E),E,Rec,"oncogene, TSG","Mis, N",,n,,1,"DDB2,ENSG00000134574.11,Q92466,1643,DDBB,FLJ34321,UV-DDB2,XPE"
DDX10,DEAD-box helicase 10,COSG72683,11,108665025.0,108940930.0,11q22.3,y,n,AML*,,,L,Dom,"TSG, fusion",T,NUP98,n,,1,"DDX10,ENSG00000178105.9,Q13206,1662,Dbp4,HRH-J8"
DDX3X,DEAD-box helicase 3 X-linked,COSG92927,X,41333284.0,41364472.0,Xp11.4,y,n,"CLL, medulloblastoma",,,"L, O",,TSG,"Mis, N, F",,y,"Mental retardation, X-linked 102",1,"DDX3X,ENSG00000215301.10,1654,DBX,DDX14,HLP2"
DICER1,"dicer 1, ribonuclease III",COSG73310,14,95086228.0,95158010.0,14q32.13,y,y,"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types",pleuropulmonary blastoma,familial pleuropulmonary blastoma or DICER1 syndrome,"E, M, O",Rec,TSG,"Mis, F, N",,n,,1,"DICER1,ENSG00000100697.14,Q9UPY3,23405,Dicer,HERNA,K12H4.8-LIKE,KIAA0928"
DNM2,dynamin 2,COSG110939,19,10718079.0,10833488.0,19p13.2,y,n,T-ALL,,,L,Rec,TSG,"F, N, S, Mis, O",,y,"Charcot-Marie-Tooth disease, centronuclear myopathy,  lethal congenital contracture syndrome 5",1,"DNM2,ENSG00000079805.16,P50570,1785,CMT2M,CMTDI1,CMTDIB,DI-CMTB,DYN2,DYNII"
DNMT3A,DNA methyltransferase 3 alpha,COSG110899,2,25227855.0,25342590.0,2p23.3,y,n,AML,,,L,Dom,TSG,"Mis, F, N, S",,n,,1,"DNMT3A,ENSG00000119772.16,Q9Y6K1,1788"
DROSHA,drosha ribonuclease III,COSG93909,5,31400497.0,31532196.0,5p13.3,y,n,"Wilms tumour, NSCLC, bladder carcinoma",,,"E, O",,TSG,"A, Mis, N, F",,n,,1,"DROSHA,ENSG00000113360.16,Q9NRR4,29102,Etohi2,HSA242976,RN3,RNASE3L"
EBF1,EBF transcription factor 1,COSG87583,5,158695916.0,159099761.0,5q33.3,y,n,lipoma,,,M,Dom,"TSG, fusion",T,HMGA2,n,,1,"EBF1,ENSG00000164330.16,Q9UH73,1879,COE1,OLF1"
EIF3E,eukaryotic translation initiation factor 3 subunit E,COSG72882,8,108201216.0,108435333.0,8q23.1,y,n,colorectal,,,E,Dom,"TSG, fusion",T,RSPO3,n,,1,"EIF3E,ENSG00000104408.9,P60228,3646,eIF3-p48,eIF3e"
ELF4,E74 like ETS transcription factor 4,COSG89309,X,130064874.0,130110716.0,Xq26.1,y,n,AML,,,L,Dom,"oncogene, TSG, fusion",T,ERG,n,,1,"ELF4,ENSG00000102034.16,Q99607,2000,ELFR,MEF"
ELL,elongation factor for RNA polymerase II,COSG79844,19,18442663.0,18522127.0,19p13.11,y,n,AL,,,L,Dom,"TSG, fusion",T,KMT2A,n,,1,"ELL,ENSG00000105656.12,P55199,8178,ELL1,Men,PPP1R68"
EP300,E1A binding protein p300,COSG106033,22,41091786.0,41180079.0,22q13.2,y,n,"colorectal, breast, pancreatic, AML, ALL, DLBCL",,,"L, E",Rec,"TSG, fusion","T,  N, F, Mis, O","KMT2A, KAT6A",n,,1,"EP300,ENSG00000100393.12,Q09472,2033,KAT3B,p300"
EPAS1,endothelial PAS domain protein 1,COSG87984,2,46293667.0,46386703.0,2p21,y,n,"paraganglioma, pheochromocytoma, central nervous system hemangioblastomas",,,"E, M",Dom,"oncogene, TSG",Mis,,y,type 3 familial erythrocytosis,1,"EPAS1,ENSG00000116016.13,Q99814,2034,HIF2A,HLF,MOP2,PASD2,bHLHe73"
EPS15,epidermal growth factor receptor pathway substrate 15,COSG98494,1,51354263.0,51519328.0,1p32.3,y,n,ALL,,,L,Dom,"TSG, fusion",T,KMT2A,n,,1,"EPS15,ENSG00000085832.16,P42566,2060,AF-1P,MLLT5"
ERBB4,erb-b2 receptor tyrosine kinase 4,COSG86121,2,211375717.0,212538841.0,2q34,y,y,"melanoma, gastric, NSCLC",,,E,Dom,"oncogene, TSG","Mis, N",,y,Amyotrophic lateral sclerosis 19,1,"ERBB4,ENSG00000178568.14,Q15303,2066,ALS19,HER4"
ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit",COSG97421,19,45349837.0,45370918.0,19q13.32,n,y,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (D),E,Rec,TSG,"Mis, N, F, S",,n,,1,"ERCC2,ENSG00000104884.15,P18074,2068,EM9,MAG,MGC102762,MGC126218,MGC126219,TFIIH"
ERCC3,"ERCC excision repair 3, TFIIH core complex helicase subunit",COSG106100,2,127257290.0,127294176.0,2q14.3,n,y,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (B),E,Rec,TSG,"Mis, S",,n,,1,"ERCC3,ENSG00000163161.13,P19447,2071,BTF2,GTF2H,RAD25,TFIIH,XPB"
ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit",COSG61416,16,13920157.0,13952345.0,16p13.12,n,y,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (F),E,Rec,TSG,"Mis, N, F",,n,,1,"ERCC4,ENSG00000175595.14,Q92889,2072,FANCQ,RAD1"
ERCC5,"ERCC excision repair 5, endonuclease",COSG85514,13,102807146.0,102876001.0,13q33.1,n,y,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (G),E,Rec,TSG,"Mis, N, F",,n,,1,"ERCC5,ENSG00000134899.19,P28715,2073"
ESR1,estrogen receptor 1,COSG61326,6,151656691.0,152129619.0,6q25.2,y,n,breast,,,E,Dom,"oncogene, TSG, fusion","Mis, T",,n,,1,"ESR1,ENSG00000091831.23,P03372,2099,ER-alpha,Era,NR3A1"
ETNK1,ethanolamine kinase 1,COSG90071,12,22625075.0,22690665.0,12p12.1,y,n,"aCML, CMML, SM-AHD, HES",,,L,Dom,TSG,Mis,,n,,1,"ETNK1,ENSG00000139163.15,Q9HBU6,55500,EKI,EKI1"
